VarName1,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
0,v01_BabyPandas,sp1,391.666666666667,0,30.1066469968583,30.2739554201881+0i,30.3000332231702,30.0420855570794+0i,30.9078262232932+0i,32.027097620172+0i,63.4476675356253,61.0498805930928,60.6843966769121,64.3979147996437,52.7591437441846,40.7728058177542,0,0,0,0,0,0
0,v01_BabyPandas,sp1,500,0,30.6367017886587,31.0653955264239+0i,31.2798672580425,32.0595588326201+0i,31.6137674027562+0i,32.9397190487465+0i,56.15781243608,50.8792625798405,48.4276767708747,40.4691867972485,44.8439253136698,33.0452054245133,0,0,0,0,0,0
0,v01_BabyPandas,sp1,716.666666666667,0,31.5433884605667,32.3393270706752+0i,32.7631129519381,34.4830647675271+0i,32.7669109079971+0i,34.3486067585933+0i,45.5765570768755,37.9443968470646,34.4166872761489,23.161884100168,34.386602637034,23.8901944709813,0,0,0,0,0,0
0,v01_BabyPandas,sp1,966.666666666667,0,32.4093274433606,33.4895979813996+0i,34.0263353850114,36.236348447665+0i,33.8198035686393+0i,35.569920322434+0i,37.3377046948222,29.1152526259637,25.7304168640839,15.4684043474463,26.9836070630388,18.033844834272,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1300,0,33.3630384263093,34.7074067977451+0i,35.3015601628373,37.8419012040451+0i,34.9397951232106+0i,36.819552581683+0i,29.9761958963398,21.9957958951025,19.1833453186793,10.6878473040266,20.8497498385089,13.5246209679291,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1916.66666666667,0,34.7498369032153,36.4269577541867+0i,37.009382328014,39.8315301323941+0i,36.517513798493+0i,38.5163756306895+0i,21.781945674269,14.8041877899536,12.9461945183907,6.75969884101977,14.4986972382962,9.15045727984819,0,0,0,0,0,0
0,v01_BabyPandas,sp1,391.666666666667,1,30.4844066652667,30.8948809334255+0i,30.7814198962705,32.1281330726714+0i,31.4380329543691+0i,31.7385312044422+0i,58.1620485167964,52.9166408697451,54.3173246772606,39.8352047364244,46.6957188459482,43.5739810725573,0,0,0,0,0,0
0,v01_BabyPandas,sp1,500,1,31.0839824481072,31.7805021209626+0i,31.9749039581394,33.7534258349992+0i,32.2594725862334+0i,33.2561832836653+0i,50.6619749757023,43.1549033970285,41.2657711212835,27.3991933670497,38.6485408660664,30.7228876360831,0,0,0,0,0,0
0,v01_BabyPandas,sp1,716.666666666667,1,32.0872256735047,33.1703343703207+0i,33.6790942164401,35.8605214868608+0i,33.5588885680152+0i,35.2558211877911+0i,40.2121962607309,31.3362428198597,27.8721800764189,16.8666258903301,28.6544122030662,19.3864478880603,0,0,0,0,0,0
0,v01_BabyPandas,sp1,966.666666666667,1,33.0235943233075,34.3966541447144+0i,35.0604417344104,37.4551188363329+0i,34.7101262986955+0i,36.7802837289027+0i,32.4131268268284,23.6273462842537,20.2785168247225,11.6833793262478,21.9820266980007,13.6474649616827,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1300,1,34.0348050264823,35.6730494486296+0i,36.4061001416735,38.9468442356109+0i,35.9069026239987+0i,38.2063262466127+0i,25.6802861230541,17.6106512228558,14.8754580210729,8.28697325658543,16.6874546500378,9.82760598673142,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1916.66666666667,1,35.4745634328718,37.4469182374397+0i,38.1461938731613,40.8164839983929+0i,37.5559767448405+0i,39.9821141648043+0i,18.4341882239938,11.7054613987082,9.96462532276395,5.38805426527699,11.4151779587832,6.52933489331168,0,0,0,0,0,0
0,v01_BabyPandas,sp1,391.666666666667,2,30.5919438130543,29.4930836697765+0i,31.3263236360171,32.1492010077873+0i,31.3970832367297+0i,31.7859318819831+0i,56.7395620807311,73.0755333671787,47.9124078811291,39.6424292784479,47.1380960712995,43.1009827502214,0,0,0,0,0,0
0,v01_BabyPandas,sp1,500,2,31.0718218844178,30.8272481880129+0i,32.1694848970638,33.4852626745069+0i,32.1289756848309+0i,33.1477229885726+0i,50.8040310083389,53.7471625981213,39.4577095079765,29.1443311849613,39.8274767146978,31.4998192682271,0,0,0,0,0,0
0,v01_BabyPandas,sp1,716.666666666667,2,31.9001221120434,32.6819679625571+0i,33.488053167922,35.3321576698045+0i,33.3119695731155+0i,34.996108125025+0i,41.9824857906781,35.0657849142179,29.1256109512247,19.0486671822002,30.3307677494782,20.5811457567531,0,0,0,0,0,0
0,v01_BabyPandas,sp1,966.666666666667,2,32.6977206370722,34.1592349540686+0i,34.6421049609697,36.7936814053131+0i,34.3802814665709+0i,36.4316189153379+0i,34.9388251353601,24.9549592750539,22.3290303889988,13.6054283745498,23.7165882752092,14.7883073929626,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1300,2,33.5806780881012,35.5875498012227+0i,35.8282072077749,38.1970739492094+0i,35.5055455521113+0i,37.7853762670026+0i,28.5110066934115,17.9607877535608,16.9925923977478,9.84856523519443,18.303148598776,10.8278625503236,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1916.66666666667,2,34.8669981055138,37.4331910661221+0i,37.4386692919029,39.9921312569922+0i,37.0720559539253+0i,39.474806261606+0i,21.2021816159476,11.7425185319433,11.7277157620602,6.51429220193561,12.7607078396122,7.3383721906233,0,0,0,0,0,0
0,v01_BabyPandas,sp1,391.666666666667,3,30.6010770744743,29.8991795375828+0i,30.775069934284,32.5167386729134+0i,31.0446152665251+0i,31.1578456675265+0i,56.620363530356,66.5521985739071,54.3968019072269,36.4255814981588,51.1232946472315,49.8076204760433,0,0,0,0,0,0
0,v01_BabyPandas,sp1,500,3,31.0577611521571,31.0270470149841+0i,31.7862179239077,33.6354322262913+0i,31.8198041105743+0i,32.7299640399602+0i,50.9687808576583,51.330519467971,43.0981440583716,28.1538075918319,42.7661298056775,34.6803887351594,0,0,0,0,0,0
0,v01_BabyPandas,sp1,716.666666666667,3,31.8513059579904,32.6721979302231+0i,33.2946964183169,35.2640313576879+0i,33.0553347194058+0i,34.7625959702199+0i,42.4570450955423,35.1447588618695,30.4516422524626,19.349833175321,32.1770991639114,21.7180467598126,0,0,0,0,0,0
