,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
0,v22_WildDolphins,sp1,500,0,38.046971722314154,37.596964750715095,36.30646825876131,34.262073229839636,36.67301903399339,44.75655370270757,10.559969877783962,11.439830911222641,15.262606446895282,24.626027216623573,14.040793545180184,2.22279245310566,938.7360000000001,950.58,956.9,935.424,942.7239999999999,950.26
1,v22_WildDolphins,sp1,760,0,38.33681343572925,38.220824467903775,36.94074128577737,34.88428514012641,37.314611064344355,45.0239830176755,9.860683780946225,9.901378401552828,13.208550820805664,21.360841305498113,12.144326477901885,2.089990961999999,1353.464,1379.1879999999999,1379.816,1350.48,1362.672,1369.364
2,v22_WildDolphins,sp1,1005,0,38.606014732541496,38.691176084663205,37.39526774946228,35.23823122122549,37.784338332591524,45.46935582249339,9.192971075780184,8.894441037533962,11.926278744933029,19.70151140003396,10.937312500528305,1.9061922874547172,1748.116,1781.68,1787.132,1755.616,1773.4479999999999,1774.58
3,v22_WildDolphins,sp1,1529,0,39.31853244783678,39.4036517645132,38.09694801465851,35.88049962580285,38.41990872079246,46.28101228944341,7.82466303563396,7.6035285242990565,10.21099835061509,17.077019296401893,9.493970799098117,1.6183818412575468,2601.724,2647.736,2651.228,2602.996,2613.728,2618.384
4,v22_WildDolphins,sp1,2326,0,40.008106842061316,40.27040012060753,38.87455147075941,36.55254013148397,39.262386475137745,47.363793836302825,6.707586411011323,6.2948235681452775,8.620022584388678,14.712531182116038,7.9214129036707535,1.292451776761321,3897.12,3959.6279999999997,3961.1,3885.864,3948.96,3955.948
5,v22_WildDolphins,sp1,3537,0,40.87600170380848,41.19563352678961,39.718235279971694,37.3257111249915,40.12263783859245,48.31477780467925,5.547609908154715,5.165123510686794,7.217658310262267,12.47706789761038,6.634039035379245,1.0843494609490572,5902.335999999999,5984.556,5966.696,5881.531999999999,5888.932,5930.744000000001
6,v22_WildDolphins,sp1,5380,0,41.85837951993209,42.22610171085096,40.76069835777359,38.260267239312256,41.190151948307545,49.70161434303864,4.513868318978302,4.185164893140566,5.838874550226415,10.208108072899998,5.343521249384905,0.7698691808754717,8900.188,8972.336,9015.308,8842.815999999999,8913.091999999999,9058.756
7,v22_WildDolphins,sp1,8183,0,43.04704231915663,43.543162758091505,41.940946618366986,39.28784783093303,42.38968629487263,50.571664086018856,3.542475388607546,3.2120763303962265,4.634131581407548,8.271556128052831,4.2858378235754735,0.6637029642160376,13480.848,13512.171999999999,13631.736,13365.588,13490.872,13601.648000000001
8,v22_WildDolphins,sp1,12445,0,44.46176767651228,45.01611855015093,43.31265374101698,40.649440415150956,43.86671329997547,51.52068651974904,2.703615423640566,2.4145693198933955,3.5678410958254707,6.2446264730066,3.261388505202831,0.5467647717556601,20579.136000000002,20639.66,20603.172,20528.292,20336.436,20752.023999999998
9,v22_WildDolphins,sp1,14312,0,45.089699065933935,45.537122588701884,43.83609819650568,41.08085063536039,44.40805195263771,51.8692244822651,2.2941000474905664,2.185207147663208,3.2721251211339624,5.736381360747168,2.980757100035849,0.5115728738858492,23665.932,23713.256,23568.496,23536.536,23308.332000000002,23869.928
