VarName1,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
0,v01_BabyPandas,sp1,400,0,30.149662852031,30.3397699940048+0i,30.3835748046162,30.2349390114079+0i,30.9661562914878+0i,32.1042698338095+0i,62.8223351895757,60.1316833003177,59.5282177850165,61.6008152353284,52.0552733925252,40.0546902386976,0,0,0,0,0,0
0,v01_BabyPandas,sp1,483.333333333333,0,30.5590222962438,30.9519019268829+0i,31.1424730731425,31.8035070710738+0i,31.5119658497417+0i,32.810803538041+0i,57.171308376755,52.2264093215442,49.984235444238,42.9269125597483,45.9075140591923,34.040819523775,0,0,0,0,0,0
0,v01_BabyPandas,sp1,566.666666666667,0,30.9349869983451,31.4942299392659+0i,31.7906669275381,32.9562664945365+0i,31.9999363558978+0i,33.4214862770916+0i,52.4302177053843,46.0953765386061,43.0540160236595,32.9195364699801,41.0286025780181,29.5754753249025,0,0,0,0,0,0
0,v01_BabyPandas,sp1,641.666666666667,0,31.2491106769906,31.9350672439397+0i,32.3031816894458,33.7854615562231+0i,32.3991422698937+0i,33.9085740750582+0i,48.7718571569157,41.646032765651,38.2615176078376,27.1978268907696,37.4253726937071,26.437656365559,0,0,0,0,0,0
0,v01_BabyPandas,sp1,750,0,31.6684631891781,32.5088615146923+0i,32.9533513273385,34.7609334130369+0i,32.9215556336651+0i,34.5313755123688+0i,44.2826948181439,36.491709540885,32.9416408651062,21.7263624092917,33.1836991633364,22.9056599814003,0,0,0,0,0,0
0,v01_BabyPandas,sp1,900,0,32.1934715045138,33.2075999073143+0i,33.7223577562042,35.8322401592841+0i,33.5609975439298+0i,35.2744286655838+0i,39.2403805442029,31.0685060300804,27.5959014445998,16.976820037171,28.6405007220265,19.3035637551579,0,0,0,0,0,0
0,v01_BabyPandas,sp1,966.666666666667,0,32.4093274433606,33.4895979813996+0i,34.0263353850114,36.236348447665+0i,33.8198035686393+0i,35.569920322434+0i,37.3377046948222,29.1152526259637,25.7304168640839,15.4684043474463,26.9836070630388,18.033844834272,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1166.66666666667,0,33.0038774414856,34.2534611071625+0i,34.8330025993711,37.266733809189+0i,34.5220948623971+0i,36.3585885794632+0i,32.5606163147254,24.4193584645978,21.3687983566364,12.2013245675355,22.9546605372553,15.0390880811218,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1350,0,33.4911648303793,34.8682332933395+0i,35.4657241534925,38.0399631911101+0i,35.0877570970864+0i,36.9815340693665+0i,29.1047503107127,21.1961523077568,18.4717458908962,10.2113706818982,20.1513734323072,13.0294761102292,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1616.66666666667,0,34.1231953720877,35.6548099414264+0i,36.2552705507678,38.9708783370921+0i,35.8105874030885+0i,37.7639542885571+0i,25.1629076469159,17.6847679954197,15.4011554996633,8.24123934311627,17.0616732531886,10.8814039277787,0,0,0,0,0,0
