,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
0,v22_WildDolphins,sp4,500,0,38.16189204720417,37.73580978943959,36.45067164183333,34.158058574764574,36.66319676017292,45.134541530945825,10.072083591404166,11.023343722997916,14.749414352952082,25.113794601943752,14.050030994227084,2.00978783510625,925.88,940.716,942.0880000000001,924.148,934.852,938.944
1,v22_WildDolphins,sp4,760,0,42.92348742076501,38.32319451181321,43.579381430161675,39.241423028876675,37.05844104615472,45.849377640369816,7.8870961163216675,8.541491517956668,11.464543137955001,19.40929564946833,11.38353710471,1.536233263905,1344.692,1369.98,1372.2320000000002,1340.116,1354.628,1376.24
2,v22_WildDolphins,sp4,1005,0,43.22467493852666,43.45023577422501,41.388106117853326,41.82889895875668,41.499082084338326,50.20697830633666,7.293005685426666,7.853860879254999,10.642351535226664,18.275010389983333,10.735496934058336,1.3912493722816666,1748.5839999999998,1772.596,1780.608,1748.256,1771.736,1783.12
3,v22_WildDolphins,sp4,1529,0,44.052520027161684,39.18220359773586,44.24877283099666,42.246281318766655,37.65948733230755,52.876529424203326,6.482758304898336,7.060158199528334,9.49026027797686,16.25611277487515,9.951376317906668,1.189039832687656,2611.38,2636.5679999999998,2640.888,2586.6079999999997,2616.236,2641.452
4,v22_WildDolphins,sp4,2326,0,40.170969033494345,39.698508065449055,38.38389037364528,36.02601167996981,37.95805695495282,47.83749371170378,6.4982515201509425,7.14931716928302,9.619692635667924,16.619356341084906,10.542045690296224,1.156792241781132,3906.56,3937.012,3955.5840000000003,3907.784,3953.212,3969.9359999999997
5,v22_WildDolphins,sp4,3537,0,45.78085104715333,40.13278580781698,43.80872946982666,36.48142063053019,38.20572773836226,48.4721214081132,5.15178646322,5.7577692889200005,7.60231517244,13.312480582556667,8.795410284320003,0.8896155949700001,5910.02,5929.224,5931.255999999999,5902.94,5858.632,6004.7519999999995
6,v22_WildDolphins,sp4,5380,0,47.50712908155165,40.56633695548491,44.486614454585,41.926651883356655,38.384478070037744,48.98409231447547,4.622514000375942,5.2369564716550006,6.8581101727550005,11.921230377381669,8.423610625883335,0.8006567900566666,8931.735999999999,8852.176,8847.496,8866.948,8788.704,9064.372
7,v22_WildDolphins,sp4,8183,0,41.662875785450936,40.94433724673019,39.80670870770755,37.37531822690377,38.544916630826414,49.400271267169806,4.723813476186792,5.465895029988679,7.047035560654716,12.426370347339622,9.190093876766039,0.8610411871339622,13428.011999999999,13171.243999999999,13200.764,13302.208,13236.851999999999,13739.952
8,v22_WildDolphins,sp4,12445,0,47.40916097042499,41.33704489614339,40.26199744136037,37.855363928152826,38.681139888905655,49.84943173960189,3.888079412682188,4.432216234685,5.595336890486667,9.898361727724998,7.82889990712,0.6733872257166668,20169.676,19893.376,19804.523999999998,19912.908,19936.92,20743.004
9,v22_WildDolphins,sp4,14312,0,47.84035674912833,41.384250857864146,40.38610684003396,37.99174580365661,38.70175085040377,50.009030301798106,3.810758948499875,4.386387065269999,5.424646428890001,9.611787790506664,7.790187052151666,0.65827357252,23464.68,22728.748,22698.1,22878.612,22825.604,23760.096
10,v22_WildDolphins,sp4,500,1,36.99273038442334,37.561914753468336,36.29733642474833,33.67224274852167,36.87745482868,45.80630529335666,13.06068684200833,11.41326422872,15.285912511633336,27.938298624176664,13.391839416043332,1.7110781310166665,925.88,940.716,942.0880000000001,924.148,934.852,938.944
11,v22_WildDolphins,sp4,760,1,37.427603671211685,38.017669771286656,36.82635254352668,34.05630878270501,37.282423026428326,46.55662637697665,11.830015993585,10.27743045084,13.531943911023335,25.57363955532333,12.194664608941665,1.4397727104583338,1344.692,1369.98,1372.2320000000002,1340.116,1354.628,1376.24
12,v22_WildDolphins,sp4,1005,1,37.71484277817,38.327400653478335,37.119311477756675,34.33356789547,37.537388245988346,47.05384169419667,11.076496117591667,9.571782866798337,12.647531226536666,23.990448908336663,11.504958142073336,1.2839671349483333,1748.5839999999998,1772.596,1780.608,1748.256,1771.736,1783.12
13,v22_WildDolphins,sp4,1529,1,38.163844669016655,38.78989435809333,37.57329278697,34.754157802996666,37.839460488695,47.70589858179333,9.998225299511663,8.606981715266668,11.392447599214997,21.77714126014,10.734952331714998,1.1052202465933334,2611.38,2636.5679999999998,2640.888,2586.6079999999997,2616.236,2641.452
